Length,ASR,Radius,line1,line3,angle2,angle4,springback
720,1.3,924,14,35,170,103,19.2
720,1.3,1270,20,20,170,103,17
918,0.64,924,20,35,170,103,23.5
918,0.64,924,14,35,134,150,9.7
720,0.64,924,20,20,170,150,14.8
918,1.3,1270,20,35,170,150,28
720,0.64,924,14,20,134,103,5.9
720,1.3,1270,14,20,134,150,9.1
918,1.3,924,14,20,170,150,27.2
918,0.64,1270,14,20,170,103,14.2
720,0.64,1270,20,35,134,103,9.4
918,1.3,924,20,20,134,103,12.7
720,0.64,1270,14,35,170,150,10.5
720,1.3,924,20,35,134,150,16.8
918,1.3,1270,14,35,134,103,11.4
918,0.64,1270,20,20,134,150,7.4
