总长,弧直比,半径,直线1,直线3,角度2,角度4,扭转回弹
720,1.3,924,17,35,170,103,0.224744992
720,1.3,1270,23,20,170,103,0.23785523
918,0.64,924,23,35,170,103,0.271764125
918,0.64,924,17,35,134,150,0.114313747
720,0.64,924,23,20,170,150,0.204841388
918,1.3,1270,23,35,170,150,0.32091314
720,0.64,924,17,20,134,103,0.085414146
720,1.3,1270,17,20,134,150,0.130271361
918,1.3,924,17,20,170,150,0.381973466
918,0.64,1270,17,20,170,103,0.201618178
720,0.64,1270,23,35,134,103,0.10634537
918,1.3,924,23,20,134,103,0.173045157
720,0.64,1270,17,35,170,150,0.121796838
720,1.3,924,23,35,134,150,0.188403695
918,1.3,1270,17,35,134,103,0.135592883
918,0.64,1270,23,20,134,150,0.099770494
819,0.97,806,23,23,170,150,0.326
918,0.64,924,23,23,170,150,0.255
720,0.64,924,23,23,170,150,0.177
652,0.97,1097,23,23,170,150,0.184
819,0.42,1097,23,23,170,150,0.083
819,0.97,1097,23,23,170,150,0.249
819,0.97,1097,23,23,170,150,0.249
819,0.97,1097,23,23,170,150,0.249
918,0.64,1270,23,23,170,150,0.166
720,1.3,924,23,23,170,150,0.288
985,0.97,1097,23,23,170,150,0.332
819,0.97,1097,23,23,170,150,0.254
819,1.52,1097,23,23,170,150,0.314
819,0.97,1097,23,23,170,150,0.254
819,0.97,1097,23,23,170,150,0.254
918,1.3,924,23,23,170,150,0.389
819,0.97,1387,23,23,170,150,0.21
720,0.64,1270,23,23,170,150,0.088
720,1.3,1270,23,23,170,150,0.177
918,1.3,1270,23,23,170,150,0.31
920,1.3,1191,20,30.5,152,126.5,0.254
920,1.3,1191,23,38,170,150,0.297
920,1.3,1191,23,38,134,103,0.171
920,1.3,1191,20,30.5,152,126.5,0.243
920,1.3,1191,20,30.5,152,126.5,0.254
920,1.3,1191,23,23,134,150,0.189
920,1.3,1191,17,38,170,103,0.202
920,1.3,1191,17,38,134,103,0.123
920,1.3,1191,23,23,170,150,0.33
920,1.3,1191,23,38,134,150,0.191
920,1.3,1191,26,30.5,152,126.5,0.286
920,1.3,1191,17,23,134,103,0.121
920,1.3,1191,20,30.5,152,79.5,0.167
920,1.3,1191,20,30.5,152,126.5,0.249
920,1.3,1191,17,23,170,103,0.243
920,1.3,1191,20,30.5,116,126.5,0.166
920,1.3,1191,17,23,170,150,0.281
920,1.3,1191,23,23,170,103,0.267
920,1.3,1191,20,30.5,152,126.5,0.249
920,1.3,1191,17,38,170,150,0.245
920,1.3,1191,23,38,170,103,0.25
920,1.3,1191,14,30.5,152,126.5,0.179
920,1.3,1191,20,30.5,152,126.5,0.254
920,1.3,1191,17,38,134,150,0.156
920,1.3,1191,20,30.5,152,126.5,0.249
