Length,ASR,Radius,line1,line2,line3,line5,angle1,angle2,angle3,angle4,corner3,corner4,springback
720,1.3,924,17,31,35,16,90,170,130,103,10,4,0.224744992
720,1.3,1270,23,31,20,16,90,170,130,103,10,4,0.23785523
918,0.64,924,23,31,35,16,90,170,130,103,10,4,0.271764125
918,0.64,924,17,31,35,16,90,134,130,150,10,4,0.114313747
720,0.64,924,23,31,20,16,90,170,130,150,10,4,0.204841388
918,1.3,1270,23,31,35,16,90,170,130,150,10,4,0.32091314
720,0.64,924,17,31,20,16,90,134,130,103,10,4,0.085414146
720,1.3,1270,17,31,20,16,90,134,130,150,10,4,0.130271361
918,1.3,924,17,31,20,16,90,170,130,150,10,4,0.381973466
918,0.64,1270,17,31,20,16,90,170,130,103,10,4,0.201618178
720,0.64,1270,23,31,35,16,90,134,130,103,10,4,0.10634537
918,1.3,924,23,31,20,16,90,134,130,103,10,4,0.173045157
720,0.64,1270,17,31,35,16,90,170,130,150,10,4,0.121796838
720,1.3,924,23,31,35,16,90,134,130,150,10,4,0.188403695
918,1.3,1270,17,31,35,16,90,134,130,103,10,4,0.135592883
918,0.64,1270,23,31,20,16,90,134,130,150,10,4,0.099770494
819,0.97,806,20,22,38,18,97,170,115,112,5,5,0.326
918,0.64,924,20,22,38,18,97,170,115,112,5,5,0.255
720,0.64,924,20,22,38,18,97,170,115,112,5,5,0.177
652,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.184
819,0.42,1097,20,22,38,18,97,170,115,112,5,5,0.083
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.249
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.249
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.249
918,0.64,1270,20,22,38,18,97,170,115,112,5,5,0.166
720,1.3,924,20,22,38,18,97,170,115,112,5,5,0.288
985,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.332
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.254
819,1.52,1097,20,22,38,18,97,170,115,112,5,5,0.314
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.254
819,0.97,1097,20,22,38,18,97,170,115,112,5,5,0.254
918,1.3,924,20,22,38,18,97,170,115,112,5,5,0.389
